grad_clip,n_epochs,n_h_layers,n_neurones,patience,valid_loss_Net_D_W,valid_loss_Net_D_W_es,valid_loss_Net_D_gc,valid_loss_Net_D_gc_es
0.5,100,4,30,15,0.013792727142572403,0.013792727142572403,0.009119486436247826,0.009119486436247826
1,100,4,30,15,0.013792727142572403,0.013792727142572403,0.010438953526318073,0.010438953526318073
2,100,4,30,15,0.013792727142572403,0.013792727142572403,0.011084605939686298,0.011084605939686298
4,100,4,30,15,0.013792727142572403,0.013792727142572403,0.01213547307997942,0.01213547307997942
0.5,100,4,30,20,0.013792727142572403,0.013792727142572403,0.009119486436247826,0.009119486436247826
1,100,4,30,20,0.013792727142572403,0.013792727142572403,0.010438953526318073,0.010438953526318073
2,100,4,30,20,0.013792727142572403,0.013792727142572403,0.011084605939686298,0.011084605939686298
4,100,4,30,20,0.013792727142572403,0.013792727142572403,0.01213547307997942,0.01213547307997942
0.5,30,4,50,5,0.01849951408803463,0.01849951408803463,0.014252028428018093,0.19324155151844025
1,30,4,50,5,0.01849951408803463,0.01849951408803463,0.012156362645328045,0.012156362645328045
2,30,4,50,5,0.01849951408803463,0.01849951408803463,0.01585065945982933,0.16358394920825958
4,30,4,50,5,0.01849951408803463,0.01849951408803463,0.019130758941173553,0.16313518583774567
0.5,30,4,50,10,0.01849951408803463,0.01849951408803463,0.014252028428018093,0.014252028428018093
1,30,4,50,10,0.01849951408803463,0.01849951408803463,0.012156362645328045,0.012156362645328045
2,30,4,50,10,0.01849951408803463,0.01849951408803463,0.01585065945982933,0.01585065945982933
4,30,4,50,10,0.01849951408803463,0.01849951408803463,0.019130758941173553,0.019130758941173553
0.5,30,4,50,15,0.01849951408803463,0.01849951408803463,0.014252028428018093,0.014252028428018093
1,30,4,50,15,0.01849951408803463,0.01849951408803463,0.012156362645328045,0.012156362645328045
2,30,4,50,15,0.01849951408803463,0.01849951408803463,0.01585065945982933,0.01585065945982933
4,30,4,50,15,0.01849951408803463,0.01849951408803463,0.019130758941173553,0.019130758941173553
0.5,30,4,50,20,0.01849951408803463,0.01849951408803463,0.014252028428018093,0.014252028428018093
1,30,4,50,20,0.01849951408803463,0.01849951408803463,0.012156362645328045,0.012156362645328045
2,30,4,50,20,0.01849951408803463,0.01849951408803463,0.01585065945982933,0.01585065945982933
4,30,4,50,20,0.01849951408803463,0.01849951408803463,0.019130758941173553,0.019130758941173553
0.5,50,4,50,5,0.012891997583210468,0.015093793161213398,0.008721605874598026,0.19324155151844025
1,50,4,50,5,0.012891997583210468,0.015093793161213398,0.008347568102180958,0.008757627569139004
2,50,4,50,5,0.012891997583210468,0.015093793161213398,0.00997375138103962,0.16358394920825958
4,50,4,50,5,0.012891997583210468,0.015093793161213398,0.011739308014512062,0.16313518583774567
0.5,50,4,50,10,0.012891997583210468,0.012891997583210468,0.008721605874598026,0.008721605874598026
1,50,4,50,10,0.012891997583210468,0.012891997583210468,0.008347568102180958,0.008347568102180958
2,50,4,50,10,0.012891997583210468,0.012891997583210468,0.00997375138103962,0.00997375138103962
4,50,4,50,10,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,50,4,50,15,0.012891997583210468,0.012891997583210468,0.008721605874598026,0.008721605874598026
